label	x	y	z
PO6	0.4934	-0.8557	0.1557
PO6h	0.4292	-0.8756	0.2218
PO7	-0.5878	-0.8090	0.0000
PO7h	-0.5467	-0.8334	0.0812
PO8	0.5878	-0.8090	0.0000
PO8h	0.5467	-0.8334	0.0812
PO9	-0.5481	-0.7544	-0.3612
PO9h	-0.5778	-0.7953	-0.1837
POO1	-0.1287	-0.9748	0.1821
POO10	0.4233	-0.8309	-0.3612
POO10h	0.4463	-0.8759	-0.1837
POO1h	-0.0647	-0.9793	0.1918
POO2	0.1287	-0.9748	0.1821
POO2h	0.0647	-0.9793	0.1918
POO3	-0.2511	-0.9572	0.1438
POO3h	-0.1911	-0.9674	0.1661
POO4	0.2511	-0.9572	0.1438
POO4h	0.1911	-0.9674	0.1661
POO5	-0.3613	-0.9288	0.0821
POO5h	-0.3081	-0.9443	0.1158
POO6	0.3613	-0.9288	0.0821
POO6h	0.3081	-0.9443	0.1158
POO7	-0.4540	-0.8910	0.0000
POO7h	-0.4102	-0.9110	0.0434
POO8	0.4540	-0.8910	0.0000
POO8h	0.4102	-0.9110	0.0434
POO9	-0.4233	-0.8309	-0.3612
POO9h	-0.4463	-0.8759	-0.1837
POOz	0.0000	-0.9808	0.1951
POz	0.0000	-0.9239	0.3827
PPO1	-0.2406	-0.8225	0.5154
PPO10	0.6594	-0.6594	-0.3612
PPO10h	0.6951	-0.6951	-0.1837
PPO1h	-0.1221	-0.8292	0.5454
PPO2	0.2406	-0.8225	0.5154
PPO2h	0.1221	-0.8292	0.5454
PPO3	-0.4539	-0.7965	0.3994
PPO3h	-0.3523	-0.8115	0.4662
PPO4	0.4539	-0.7965	0.3994
PPO4h	0.3523	-0.8115	0.4662
PPO5	-0.6155	-0.7565	0.2208
PPO5h	-0.5425	-0.7780	0.3168
PPO6	0.6155	-0.7565	0.2208
PPO6h	0.5425	-0.7780	0.3168
PPO7	-0.7071	-0.7071	0.0000
PPO7h	-0.6709	-0.7327	0.1142
PPO8	0.7071	-0.7071	0.0000
PPO8h	0.6709	-0.7327	0.1142
PPO9	-0.6594	-0.6594	-0.3612
PPO9h	-0.6951	-0.6951	-0.1837
PPOz	0.0000	-0.8315	0.5556
Pz	0.0000	-0.7071	0.7071
RPA	0.9325	0.0000	-0.3612
T10	0.9325	0.0000	-0.3612
T10h	0.9830	0.0000	-0.1837
T7	-1.0000	0.0000	0.0000
T7h	-0.9775	0.0000	0.2110
T8	1.0000	0.0000	0.0000
T8h	0.9775	-0.0000	0.2110
T9	-0.9325	-0.0000	-0.3612
T9h	-0.9830	-0.0000	-0.1837
TP10	0.8869	-0.2882	-0.3612
TP10h	0.9349	-0.3038	-0.1837
TP7	-0.9511	-0.3090	0.0000
TP7h	-0.9287	-0.3235	0.1815
TP8	0.9511	-0.3090	0.0000
TP8h	0.9287	-0.3235	0.1815
